"EVENT_DATE_STRING","TOTAL_DAILY_DIGITAL_SEARCHES","UNIQUE_DAILY_DIGITAL_USERS"
"2006-03-01",5721,2685
"2006-03-02",5948,2923
"2006-03-03",6015,2745
"2006-03-04",6766,3022
"2006-03-05",7080,3326
"2006-03-06",5699,2728
"2006-03-07",5690,2836
"2006-03-08",5574,2764
"2006-03-09",5629,2785
"2006-03-10",5579,2622
"2006-03-11",6066,2976
"2006-03-12",6828,3349
"2006-03-13",5558,2810
"2006-03-14",5945,2844
"2006-03-15",5669,2765
"2006-03-16",5543,2702
"2006-03-17",5109,2548
"2006-03-18",5867,2939
"2006-03-19",7066,3396
"2006-03-20",5859,2785
"2006-03-21",5557,2762
"2006-03-22",5757,2770
"2006-03-23",5960,2821
"2006-03-24",5134,2567
"2006-03-25",6558,3033
"2006-03-26",6712,3217
"2006-03-27",5904,2973
"2006-03-28",5661,2844
"2006-03-29",5227,2654
"2006-03-30",5014,2560
"2006-03-31",5584,2478
"2006-04-01",5945,2779
"2006-04-02",5887,2823
"2006-04-03",5377,2649
"2006-04-04",4249,1968
"2006-04-05",4541,1940
"2006-04-06",4436,1837
"2006-04-07",4399,1772
"2006-04-08",5500,2101
"2006-04-09",5487,2119
"2006-04-10",4136,1990
"2006-04-11",3959,1941
"2006-04-12",3260,1560
"2006-04-13",2889,1660
"2006-04-14",3993,1902
"2006-04-15",3928,1902
"2006-04-16",4143,2056
"2006-04-17",4208,2014
"2006-04-18",4012,1996
"2006-04-19",3691,1893
"2006-04-20",3462,1846
"2006-04-21",3775,1832
"2006-04-22",4203,2053
"2006-04-23",4453,2122
"2006-04-24",3883,1944
"2006-04-25",3649,1952
"2006-04-26",3915,1935
"2006-04-27",3582,1764
"2006-04-28",3271,1691
"2006-04-29",3891,1987
"2006-04-30",4112,2098
"2006-05-01",3535,1819
"2006-05-02",3633,1871
"2006-05-03",4588,2253
"2006-05-04",4721,2406
"2006-05-05",4429,2221
"2006-05-06",4824,2420
"2006-05-07",5424,2661
"2006-05-08",4878,2493
"2006-05-09",5043,2428
"2006-05-10",4985,2529
"2006-05-11",4948,2442
"2006-05-12",4642,2341
"2006-05-13",5341,2600
"2006-05-14",5576,2812
"2006-05-15",5264,2646
"2006-05-16",4582,2630
"2006-05-17",38,27
"2006-05-18",4348,2150
"2006-05-19",4316,2097
"2006-05-20",4646,2224
"2006-05-21",5264,2457
"2006-05-22",4470,2215
"2006-05-23",4640,2270
"2006-05-24",4595,2160
"2006-05-25",4245,2028
"2006-05-26",4098,1925
"2006-05-27",4479,2009
"2006-05-28",4208,2007
"2006-05-29",4758,2289
"2006-05-30",4481,2183
"2006-05-31",3517,1812
