"DATE_KEY","TOTAL_DAILY_DIGITAL_SEARCHES","CUMULATIVE_SEARCH_AVG","ADJ_CLOSE_PRICE","TICKER"
"2006-03-01",2868,2868.0,2.0700,AAPL
"2006-03-02",2925,2896.5,2.0900,AAPL
"2006-03-03",3084,2959.0,1.8800,AAPL
"2006-03-06",2921,3133.333,1.9600,AAPL
"2006-03-07",2835,3090.714,1.9900,AAPL
"2006-03-08",2738,3046.625,1.9700,AAPL
"2006-03-09",2843,3024.0,1.9200,AAPL
"2006-03-10",2803,3001.9,1.9000,AAPL
"2006-03-13",2802,3002.769,1.9700,AAPL
"2006-03-14",2953,2999.214,2.0200,AAPL
"2006-03-15",2912,2993.4,1.9900,AAPL
"2006-03-16",2655,2972.25,1.9300,AAPL
"2006-03-17",2587,2949.588,1.9400,AAPL
"2006-03-20",3073,2985.15,1.9200,AAPL
"2006-03-21",2817,2977.143,1.8500,AAPL
"2006-03-22",2948,2975.818,1.8500,AAPL
"2006-03-23",3186,2984.957,1.8000,AAPL
"2006-03-24",2702,2973.167,1.8000,AAPL
"2006-03-27",3051,3019.185,1.7800,AAPL
"2006-03-28",2946,3016.571,1.7600,AAPL
"2006-03-29",2816,3009.655,1.8700,AAPL
"2006-03-30",2732,3000.4,1.8800,AAPL
"2006-03-31",3009,3000.677,1.8800,AAPL
"2006-04-03",2915,3007.353,1.9700,AAPL
"2006-04-04",2305,2987.286,1.8600,AAPL
"2006-04-05",2395,2970.833,2.0200,AAPL
"2006-04-06",2447,2956.676,2.1400,AAPL
"2006-04-07",2503,2944.737,2.0900,AAPL
"2006-04-10",2268,2930.488,2.0600,AAPL
"2006-04-11",2024,2908.905,2.0400,AAPL
"2006-04-12",1667,2880.023,2.0000,AAPL
"2006-04-13",31,2815.273,1.9900,AAPL
"2006-04-17",2082,2744.333,1.9400,AAPL
"2006-04-18",2005,2729.245,1.9900,AAPL
"2006-04-19",1794,2710.54,1.9700,AAPL
"2006-04-20",1725,2691.216,2.0300,AAPL
"2006-04-21",1855,2675.135,2.0100,AAPL
"2006-04-24",1943,2642.727,1.9700,AAPL
"2006-04-25",1800,2627.679,1.9800,AAPL
"2006-04-26",1932,2615.474,2.0400,AAPL
"2006-04-27",1664,2599.069,2.0800,AAPL
"2006-04-28",1555,2581.373,2.1100,AAPL
"2006-05-01",1771,2547.21,2.0900,AAPL
"2006-05-02",1902,2536.968,2.1500,AAPL
"2006-05-03",2218,2531.984,2.1300,AAPL
"2006-05-04",2185,2526.646,2.1300,AAPL
"2006-05-05",2113,2520.379,2.1600,AAPL
"2006-05-08",2465,2518.29,2.1600,AAPL
"2006-05-09",2624,2519.8,2.1300,AAPL
"2006-05-10",2565,2520.437,2.1200,AAPL
"2006-05-11",2471,2519.75,2.0300,AAPL
"2006-05-12",2321,2517.027,2.0300,AAPL
"2006-05-15",2782,2527.724,2.0300,AAPL
"2006-05-16",470,2501.0,1.9500,AAPL
"2006-05-17",3,2468.974,1.9600,AAPL
"2006-05-18",2263,2466.367,1.8900,AAPL
"2006-05-19",2296,2464.238,1.9400,AAPL
"2006-05-22",2325,2465.795,1.9000,AAPL
"2006-05-23",2447,2465.571,1.8900,AAPL
"2006-05-24",2366,2464.4,1.9300,AAPL
"2006-05-25",2241,2461.802,1.9300,AAPL
"2006-05-26",2231,2459.149,1.9100,AAPL
"2006-05-30",2366,2448.549,1.8400,AAPL
"2006-05-31",1478,2438.0,1.7900,AAPL
